pressure,conservative_temperature,absolute_salinity
0.0,,
1.0,,
2.0,,
3.0,20.88782,38.53593
4.0,20.885466,38.53595
5.0,20.88228,38.535965
6.0,20.879093,38.535984
7.0,20.877405,38.536
8.0,20.875307,38.53602
9.0,20.87283,38.536037
10.0,20.869968,38.535606
11.0,20.86647,38.53502
12.0,20.863962,38.534985
13.0,20.862864,38.534954
14.0,20.86124,38.534924
15.0,20.858831,38.534893
16.0,20.857754,38.53486
17.0,20.856655,38.53483
18.0,20.854933,38.534798
19.0,20.85319,38.534767
20.0,20.852,38.534733
21.0,20.851362,38.534718
22.0,20.849508,38.534702
23.0,20.847885,38.534687
24.0,20.847239,38.534676
25.0,20.846048,38.53466
26.0,20.843197,38.534645
27.0,20.841131,38.53463
28.0,20.840485,38.534615
29.0,20.839294,38.5346
30.0,20.837198,38.534584
31.0,20.835476,38.53459
32.0,20.834728,38.5346
33.0,20.833447,38.534603
34.0,20.831848,38.53461
35.0,20.831156,38.53462
36.0,20.830978,38.534122
37.0,20.830801,38.533627
38.0,20.830154,38.533634
39.0,20.828619,38.53364
40.0,20.82503,38.533203
41.0,20.8221,38.53215
42.0,20.821486,38.531197
43.0,20.820337,38.53021
44.0,20.81371,38.527145
45.0,20.794807,38.52012
46.0,20.69714,38.498528
47.0,19.997541,38.44227
48.0,18.72772,38.308647
49.0,17.815325,38.200645
50.0,17.447327,38.18608
51.0,17.275194,38.188084
52.0,17.165264,38.1931
53.0,17.058273,38.200123
54.0,16.978662,38.208153
55.0,16.950468,38.212666
56.0,16.915657,38.222202
57.0,16.803955,38.24195
58.0,16.627552,38.266666
59.0,16.437744,38.282963
60.0,16.26704,38.289986
61.0,16.13261,38.30053
62.0,16.024149,38.31212
63.0,15.915617,38.326077
64.0,15.803725,38.345215
65.0,15.738415,38.36078
66.0,15.681154,38.37333
67.0,15.597438,38.382195
68.0,15.531769,38.385414
69.0,15.503605,38.384857
70.0,15.46858,38.385353
71.0,15.404179,38.385845
72.0,15.363167,38.38684
73.0,15.343526,38.389343
74.0,15.278081,38.39185
75.0,15.159786,38.397366
76.0,15.042416,38.4059
77.0,14.936617,38.409935
78.0,14.860819,38.408947
79.0,14.827807,38.408962
80.0,14.789585,38.40954
81.0,14.735496,38.409397
82.0,14.692043,38.4123
83.0,14.657652,38.42058
84.0,14.647189,38.434666
85.0,14.641502,38.456787
86.0,14.629792,38.48092
87.0,14.623773,38.49651
88.0,14.614956,38.504562
89.0,14.608193,38.510105
90.0,14.5995035,38.513138
91.0,14.584293,38.518223
92.0,14.570007,38.52613
93.0,14.5639,38.53338
94.0,14.558059,38.540607
95.0,14.542878,38.544533
96.0,14.528736,38.549175
97.0,14.520699,38.556957
98.0,14.517283,38.568027
99.0,14.524281,38.5806
100.0,14.524833,38.592175
101.0,14.5119505,38.60375
102.0,14.494195,38.61129
103.0,14.468666,38.6113
104.0,14.43922,38.6088
105.0,14.418681,38.608303
106.0,14.407533,38.61032
107.0,14.395887,38.612343
108.0,14.380772,38.613857
109.0,14.370619,38.615875
110.0,14.367817,38.622417
111.0,14.380102,38.63359
112.0,14.398819,38.643936
113.0,14.400666,38.650852
114.0,14.394509,38.655884
115.0,14.389043,38.658634
116.0,14.391124,38.662216
117.0,14.401858,38.67121
118.0,14.416802,38.68428
119.0,14.4337225,38.697853
120.0,14.442335,38.7054
121.0,14.447032,38.71043
122.0,14.449843,38.71351
123.0,14.449022,38.714516
124.0,14.4513855,38.71699
125.0,14.457586,38.72152
126.0,14.455892,38.725716
127.0,14.459121,38.735497
128.0,14.470465,38.748802
129.0,14.487817,38.76123
130.0,14.49,38.76726
131.0,14.461584,38.763752
132.0,14.421357,38.755215
133.0,14.379017,38.751705
134.0,14.357365,38.75623
135.0,14.347587,38.759705
136.0,14.332149,38.760258
137.0,14.326433,38.76177
138.0,14.326678,38.765793
139.0,14.325445,38.769314
140.0,14.324301,38.77144
141.0,14.332571,38.777817
142.0,14.347134,38.78604
143.0,14.353963,38.791325
144.0,14.350927,38.793953
145.0,14.353187,38.79697
146.0,14.355459,38.799488
147.0,14.362665,38.803513
148.0,14.380725,38.81105
149.0,14.394856,38.81658
150.0,14.399154,38.81759
151.0,14.40925,38.820942
